magnitude_sigma,lambda_traza_legacy,trace_over_D,lambda_selected,lambda_ratio_selected,validation_mae,window_start,shock_location
5.0,131.36031011220268,1313.6031011220268,1.3136031011220268e-05,1e-08,0.028198360298791737,2750,3000
10.0,548.0195783969008,5480.195783969008,0.005480195783969007,1e-06,0.03398471866669213,2750,3000
15.0,2168.5368598698033,21685.36859869803,0.02168536859869803,1e-06,0.04716372309921613,2750,3000
20.0,6319.26619313865,63192.6619313865,0.06319266193138649,1e-06,0.05970693888129337,2750,3000
30.0,30016.777169495123,300167.7716949512,0.30016777169495124,1e-06,0.08591480233520557,2750,3000
