reservoir_seed,window_start,mase_esn,mase_static,diff_static_minus_esn,esn_wins
11,0,0.3820230840575031,1.0496874938947394,0.6676644098372362,True
11,189,0.021755199277186294,0.23724786383923094,0.21549266456204463,True
11,379,0.07080693398972122,0.3696018742816807,0.29879494029195947,True
11,568,0.4364662346258545,0.2756529878977305,-0.16081324672812397,False
11,758,0.8309134024176317,0.8129229159646475,-0.017990486452984178,False
11,947,0.23617023952823785,0.9808993577737068,0.744729118245469,True
11,1137,0.2719402461597326,0.5347089505479754,0.2627687043882428,True
11,1326,0.15118558137156324,0.43805991744838896,0.2868743360768257,True
11,1516,0.18921222765438642,0.0923211193457479,-0.09689110830863852,False
11,1705,0.2707177004424065,0.05653982827418057,-0.21417787216822592,False
11,1895,0.23588000262568024,0.23795433115030523,0.0020743285246249965,True
11,2084,0.5021773665709401,1.1288052663377577,0.6266278997668175,True
11,2274,0.08455442311447892,0.06319304939976032,-0.021361373714718593,False
11,2463,0.13501933184304643,0.16838385171484616,0.033364519871799725,True
11,2653,0.2982607328285884,0.517346409811642,0.21908567698305365,True
11,2842,0.3878538199227682,0.37194178246932325,-0.015912037453444938,False
11,3032,0.7907541163449205,1.0284123440282191,0.23765822768329858,True
11,3221,0.6927256445418376,1.7822266208721134,1.0895009763302759,True
11,3411,0.17752503453409435,0.16114300006662532,-0.016382034467469025,False
11,3600,0.1548633099040804,0.5245116428772566,0.36964833297317623,True
11,3790,1.9196189104933534,1.5568296859038993,-0.3627892245894542,False
11,3979,0.3504678790753301,0.34200749912650685,-0.00846037994882326,False
11,4169,0.3010462008106316,0.5297660175336383,0.22871981672300667,True
11,4358,0.058561230026649265,0.3543012039662093,0.29573997393956003,True
11,4548,0.06695094631176611,0.49463771077683105,0.42768676446506493,True
11,4737,0.8564458781187861,0.4674446667866404,-0.38900121133214577,False
11,4927,0.24999344325837414,0.253166381382406,0.0031729381240318544,True
11,5116,0.19429211583940056,0.2624876050697412,0.06819548923034066,True
11,5306,0.5480371850841258,1.655011729503058,1.1069745444189323,True
11,5496,0.01608562067583382,0.4016835931742966,0.3855979724984628,True
22,0,0.6374271709309172,0.9733877877991004,0.33596061686818324,True
22,189,0.19101628927810663,0.3050754183039409,0.11405912902583429,True
