window_start,horizon,mase_ridge,mase_ols,mase_static,mase_esn
0,1,2.264664667895934,0.07093894972473204,0.02131184769637746,0.01769084294256013
0,5,5.3174489011697,1.412512385377243,0.11577125576135612,0.13399695475777906
0,10,7.108687259848842,162850614819.81744,0.2837204459599355,0.20614244686258104
391,1,0.6937242063114784,0.14821854569789847,0.007280298887960197,0.02038788731597106
391,5,2.6230138141905357,1.2207515103390387,0.06470002933426776,0.1836032614034394
391,10,4.938223961125892,2.748807696083021,0.11446211160426932,0.8375267975103845
783,1,0.3038957895453269,0.013961805817869002,0.005927045514964884,0.02628000699302818
783,5,1.1364789394766257,0.09133128389667369,0.06391472808437601,0.26124005541558726
783,10,2.3227023036977914,0.2954537641740838,0.25225945320521764,1.1871004917909567
1174,1,2.260983780107381,0.012925930579287226,0.016757893845146563,0.019549423905089913
1174,5,5.329701828269342,0.3085568031187452,0.05947060526518956,0.10177188681483812
1174,10,4.541768398526439,2.2776938222842107,0.2376884064465282,0.3804566186218895
1566,1,0.7166365575767293,0.11803955544655102,0.041700096982035806,0.041861456184016356
1566,5,1.1051950961946486,0.33498427073071535,0.1997333499040673,0.4676305958979325
1566,10,0.8645100064676545,0.5578009130209545,0.29610178487880257,0.7705441851644699
1957,1,1.1003081678889601,0.018506920058667962,0.03016356042667568,0.0329075064533829
1957,5,3.70762201149623,0.43744461962911263,0.3954306806397836,0.5051879862938532
1957,10,7.595158922112204,90.10699558421076,1.0117091239855416,1.0352704484782136
2349,1,0.4480854149870163,0.037137028532784284,0.00016798870210032665,0.0070126658103356375
2349,5,0.5629016262642067,1.0953131640758527,0.1449949233394906,0.10697862799512842
2349,10,2.74302359625948,20.31659027840963,0.6098129595008573,0.6529976124105972
2741,1,1.9086767180126933,0.0035643587680492354,0.007676299920888969,0.009749758081662434
2741,5,2.531324910165901,0.07987097790881964,0.019977220815907942,0.052179576521198597
2741,10,1.9890366625908626,0.1785447147827644,0.10061734501883718,0.3094497005077057
3132,1,2.4683871465573293,0.10286946566908575,0.12495518890677379,0.07201796321281907
3132,5,5.885654716892705,1.9591442198605717,0.7357493135450001,0.4862594558045039
3132,10,8.82339825326748,1.390331466294357e+18,1.0340180227639624,0.7504172977475865
3524,1,0.6664630385800667,0.19391027956896528,0.025959041551263877,0.01699180690499071
3524,5,2.800952943910302,1.819748830775703,0.19203707260712272,0.07784901837914616
3524,10,5.526897576408797,4.36027386995727,0.38030735984067937,0.17377210481648445
3915,1,0.7783770705753318,0.04601210311960218,0.010098231792892735,0.017060772955546186
3915,5,0.6528115833743217,0.1426213349149128,0.06003126693705817,0.3699115499140835
3915,10,2.879367341546086,0.331101702515761,0.06901103567517969,1.3883828412358927
4307,1,0.5308772896431332,0.0006312825036997486,0.011704969918996387,0.003580805953544552
4307,5,0.6544795935225811,0.1797546088861884,0.09448887747706222,0.05013756438493076
4307,10,1.1443457045866197,1.3736884793377286,0.26148013683906823,0.5831647956886993
4698,1,1.6272956750968794,0.010907424365870179,0.020256079910080677,0.04705200167136582
4698,5,3.2481429077728166,0.04998172760189209,0.05176404465909812,0.11640627433418467
4698,10,3.7474074441951264,0.057201512626422306,0.05543509679767021,0.09914080778603583
5090,1,1.7320589424958475,0.05688904401339361,0.002969343980937593,0.01909620583870456
5090,5,4.44045437218468,0.7332641744104215,0.018552007053775178,0.16185802161933216
5090,10,7.39592496622893,14469.037592911309,0.10284834585636118,0.37780018387299
5482,1,0.8755198928906176,0.03467098797364432,0.02543981570262538,0.05286283599347837
5482,5,3.5873386247212706,0.6639862502266394,0.08020413358951578,0.07170784575921124
5482,10,4.392753519450267,3.0581614962492907,0.3173674743309756,0.35223556165913594
