label,mase,nrmse,frob,n,ents
"Reservoir aleatorio (seed 7, referencia)",1.0158490409325303,0.2828025551856395,0.874970825317118,32,10
NG-RC baseline (k=2),1.2927836428152977,0.1762550452413085,0.9947475332727524,32,9
NG-RC baseline (k=3),1.2436992798064086,0.17302387410588702,0.9328403881407467,28,8
NG-RC ledoitwolf (k=2),1.2927836428152981,0.17625504524130847,0.9947475332727527,32,9
NG-RC ledoitwolf (k=3),1.2436992798064086,0.17302387410588727,0.9328403881407467,28,8
NG-RC tikhonov_covariance (k=2),1.2927836428152977,0.1762550452413085,0.9947475332727524,32,9
NG-RC tikhonov_covariance (k=3),1.2436992798064084,0.17302387410588713,0.9328403881407465,28,8
NG-RC nnls_directo (k=2),0.8180672332100118,0.19516489601510345,0.969228172286524,32,9
NG-RC nnls_directo (k=3),0.8188851946611594,0.19398953153219056,0.9676483057856842,32,8
