variant,k,entity,entity_base,es_LOO,kappa_raw,kappa_used,n_train,d_features,kappa_inf,es_artefacto_standardscaler,genuinamente_singular,motivo_singularidad,historia_corta_registro,oos_MASE,oos_RMSE,oos_Count
ledoitwolf,2,Colombia,Colombia,False,4.039245600038499e+17,7.150276589538426,4,14,False,False,False,,False,1.201027980894423,1.6620435150721935,1.0
ledoitwolf,2,__LOO__Guatemala,Guatemala,True,3195.7205555697983,15.052960835925068,55,14,False,False,False,,False,,,
ledoitwolf,2,__LOO__El Salvador,El Salvador,True,4367.926400429935,8.914110921860157,55,14,False,False,False,,False,,,
ledoitwolf,2,__LOO__Honduras,Honduras,True,6601.125950799149,5.450593389839898,55,14,False,False,False,,False,,,
ledoitwolf,2,__LOO__Nicaragua,Nicaragua,True,3352.8948143406456,13.230053755141789,55,14,False,False,False,,False,,,
ledoitwolf,2,__LOO__Costa Rica,Costa Rica,True,7112.833218293063,10.606372917140758,55,14,False,False,False,,False,,,
ledoitwolf,2,__LOO__Panamá,Panamá,True,7015.477185919711,9.838313836828034,55,14,False,False,False,,False,,,
ledoitwolf,2,__LOO__República Dominicana,República Dominicana,True,6838.275303990381,10.03259986829494,55,14,False,False,False,,True,,,
ledoitwolf,2,__LOO__Colombia,Colombia,True,7417.633966094142,10.030860339438663,55,14,False,False,False,,False,,,
ledoitwolf,3,BCIE Systemic Hub,BCIE Systemic Hub,False,54051.93833680965,15.596756900530023,54,27,False,False,False,,False,0.931196386737434,1.4966960197887182,1.0
ledoitwolf,3,Guatemala,Guatemala,False,1446.8057050020502,1.424257222782742,52,27,False,False,False,,False,1.4631965881828481,3.450510842324082,6.0
ledoitwolf,3,El Salvador,El Salvador,False,4582.5111033643125,1.8661175308239106,52,27,False,False,False,,False,,,
ledoitwolf,3,Honduras,Honduras,False,644.694455166033,7.025000239453192,53,27,False,False,False,,False,0.5309032982302851,1.0571344997175725,6.0
