variant,k,kappa_raw_median,kappa_raw_max,kappa_used_median,kappa_used_max,n_entities
baseline,2,6601.125950799149,3.93153948481934e+180,6601.125950799149,3.93153948481934e+180,17
baseline,3,28459.4551683504,inf,28459.4551683504,inf,15
ledoitwolf,2,6601.125950799149,3.93153948481934e+180,8.914110921860157,3.93153948481934e+180,17
ledoitwolf,3,28459.4551683504,inf,12.220185232014654,27.51433415281818,15
nnls_directo,2,6601.125950799149,3.93153948481934e+180,81.24731349896517,inf,17
nnls_directo,3,28459.4551683504,inf,168.69930399494584,inf,15
tikhonov_covariance,2,6601.125950799149,3.93153948481934e+180,28.241442877471002,57.00000000000003,17
tikhonov_covariance,3,28459.4551683504,inf,46.125638973000626,59.854577494604825,15
