entity,t0,mode,train_tuvo_shock,test_es_shock,categoria,y_test,raw_pred,yhat,pred_negativa_cruda,positive_by_construction,mase,error_signed,fit_status,lambda_multiplier,lambda_value,validation_qlike,qlike_floor_1e-12,qlike_floor_1e-10,qlike_floor_1e-08,qlike_floor_1e-06,qlike
MXN,500,naive,False,False,calma_total,8.428466030064329e-05,6.98107084990616e-08,6.98107084990616e-08,False,True,1.0779760035578942,-8.421484959214423e-05,ok,,,,1199.2352304407136,1199.2352304407136,1199.2352304407136,78.85046041778466,1199.2352304407136
MXN,500,ewma_0.94,False,False,calma_total,8.428466030064329e-05,5.594700769028224e-05,5.594700769028224e-05,False,True,0.36273067824820365,-2.8337652610361046e-05,ok,,,,0.09671388437247863,0.09671388437247863,0.09671388437247863,0.09671388437247863,0.09671388437247863
MXN,500,garch_11,False,False,calma_total,8.428466030064329e-05,5.122330255116754e-05,5.122330255116754e-05,False,True,0.42319555840306594,-3.306135774947575e-05,ok,,,,0.14743056123044496,0.14743056123044496,0.14743056123044496,0.14743056123044496,0.14743056123044496
MXN,500,gjr_garch_11,False,False,calma_total,8.428466030064329e-05,5.122342041232777e-05,5.122342041232777e-05,False,True,0.42319404974392694,-3.306123988831552e-05,ok,,,,0.14742907613463618,0.14742907613463618,0.14742907613463618,0.14742907613463618,0.14742907613463618
MXN,500,ols_clip_legacy,False,False,calma_total,8.428466030064329e-05,3.244704061748027e-05,3.244704061748027e-05,False,False,0.6635374921482103,-5.183761968316302e-05,ok,,,,0.643016372185488,0.643016372185488,0.643016372185488,0.643016372185488,0.643016372185488
MXN,500,ridge_clip,False,False,calma_total,8.428466030064329e-05,4.464132715111147e-05,4.464132715111147e-05,False,False,0.5074468700379047,-3.964333314953182e-05,ok,1.0,500.0,1.4675123631102078,0.2525012621899094,0.2525012621899094,0.2525012621899094,0.2525012621899094,0.2525012621899094
MXN,500,log_ridge,False,False,calma_total,8.428466030064329e-05,1.2037186000128738e-05,1.2037186000128738e-05,False,True,0.924789915208556,-7.224747430051455e-05,ok,100.0,50000.0,3.1011318426355587,4.055824396336766,4.055824396336766,4.055824396336766,4.055824396336766,4.055824396336766
MXN,500,softplus_ridge,False,False,calma_total,8.428466030064329e-05,4.1977552663180344e-05,4.1977552663180344e-05,False,True,0.5415440036287877,-4.230710763746294e-05,ok,100.0,50000.0,1.4738222975304007,0.31078587506732047,0.31078587506732047,0.31078587506732047,0.31078587506732047,0.31078587506732047
MXN,500,nnls_signed_clip_legacy,False,False,calma_total,8.428466030064329e-05,3.244704061748028e-05,3.244704061748028e-05,False,False,0.6635374921482101,-5.1837619683163004e-05,ok,,,,0.6430163721854871,0.6430163721854871,0.6430163721854871,0.6430163721854871,0.6430163721854871
MXN,500,nnls_nonneg,False,False,calma_total,8.428466030064329e-05,3.087623792520073e-05,3.087623792520073e-05,False,True,0.6836442502413749,-5.340842237544256e-05,ok,,,,0.7255450971808217,0.7255450971808217,0.7255450971808217,0.7255450971808217,0.7255450971808217
