entity,t0,variant,raw_pred,pred_negativa,yhat_clipped,y_test,mase,qlike,positive_by_construction
MXN,500,nnls_original_legacy,3.244704061748028e-05,False,3.244704061748028e-05,8.428466030064329e-05,0.6635374921482101,0.6430163721854871,False
MXN,500,nnls_nonneg,3.087623792520073e-05,False,3.087623792520073e-05,8.428466030064329e-05,0.6836442502413749,0.7255450971808217,True
MXN,520,nnls_original_legacy,8.301668183608918e-05,False,8.301668183608918e-05,0.0004467817820221,4.884996908553785,2.6988026453377274,False
MXN,520,nnls_nonneg,8.46699880508412e-05,False,8.46699880508412e-05,0.0004467817820221,4.862794680402086,2.6134340947959225,True
MXN,540,nnls_original_legacy,4.5695508622812415e-05,False,4.5695508622812415e-05,0.0004439620409388,5.755873400652901,6.441921290188528,False
MXN,540,nnls_nonneg,4.675186015034554e-05,False,4.675186015034554e-05,0.0004439620409388,5.740606675568802,6.245251378804866,True
MXN,560,nnls_original_legacy,2.771690187537856e-05,False,2.771690187537856e-05,0.0001242161671805,1.5679884858369195,1.9816226699312791,False
MXN,560,nnls_nonneg,3.445393491371687e-05,False,3.445393491371687e-05,0.0001242161671805,1.4585203961119908,1.3228823391663482,True
MXN,580,nnls_original_legacy,3.280167511522565e-05,False,3.280167511522565e-05,0.0001656892797834,2.3002077577305857,2.4316098212797104,False
MXN,580,nnls_nonneg,3.99783581227116e-05,False,3.99783581227116e-05,0.0001656892797834,2.1759835159752967,1.722698384682296,True
MXN,600,nnls_original_legacy,3.6968297884480106e-05,False,3.6968297884480106e-05,0.0001749585854995,2.413273613677412,2.1781768723972847,False
MXN,600,nnls_nonneg,4.89330503386227e-05,False,4.89330503386227e-05,0.0001749585854995,2.204025398525384,1.301372363051262,True
MXN,620,nnls_original_legacy,3.235809603968284e-05,False,3.235809603968284e-05,7.990637415081531e-05,0.8331506587764059,0.5654485491245356,False
MXN,620,nnls_nonneg,3.6840330927513175e-05,False,3.6840330927513175e-05,7.990637415081531e-05,0.7546120218806968,0.3947293261733642,True
MXN,640,nnls_original_legacy,6.325668818277137e-05,False,6.325668818277137e-05,1.1534596235692524e-05,0.8932459942123854,0.8841958526872731,False
MXN,640,nnls_nonneg,5.745602594996818e-05,False,5.745602594996818e-05,1.1534596235692524e-05,0.7930679444047315,0.8064242059640783,True
MXN,660,nnls_original_legacy,3.573670241491971e-05,False,3.573670241491971e-05,8.14818558978533e-06,0.4845181030636301,0.7063890485543731,False
MXN,660,nnls_nonneg,3.538110006380142e-05,False,3.538110006380142e-05,8.14818558978533e-06,0.478272904102741,0.6986801949216115,True
MXN,680,nnls_original_legacy,3.397816913375569e-05,False,3.397816913375569e-05,8.494175152166053e-06,0.467737523965392,0.6363267768027301,False
MXN,680,nnls_nonneg,2.8329684095862443e-05,False,2.8329684095862443e-05,8.494175152166053e-06,0.3640642768406119,0.5043625451548306,True
MXN,700,nnls_original_legacy,3.3053815622395296e-05,False,3.3053815622395296e-05,5.224570473288478e-06,0.5407923121864028,1.002826973914118,False
MXN,700,nnls_nonneg,2.5921559449599092e-05,False,2.5921559449599092e-05,5.224570473288478e-06,0.4021946144721335,0.8032555378688631,True
MXN,720,nnls_original_legacy,2.4886714155897195e-05,False,2.4886714155897195e-05,4.377929937919515e-07,0.5151555412919496,3.05793462444438,False
MXN,720,nnls_nonneg,2.2143128467877894e-05,False,2.2143128467877894e-05,4.377929937919515e-07,0.457346308695499,2.9433073726459447,True
MXN,740,nnls_original_legacy,2.5009628676523065e-05,False,2.5009628676523065e-05,1.894716706874465e-05,0.1349974408320201,0.0352013697808695,False
MXN,740,nnls_nonneg,2.7220620827529647e-05,False,2.7220620827529647e-05,1.894716706874465e-05,0.1842312836826885,0.0583797084554291,True
MXN,760,nnls_original_legacy,2.098605488475182e-05,False,2.098605488475182e-05,2.3439427073646243e-07,0.4796324377100718,3.505777876645406,False
MXN,760,nnls_nonneg,2.5074222757475027e-05,False,2.5074222757475027e-05,2.3439427073646243e-07,0.5741221250191406,3.68193901788962,True
MXN,780,nnls_original_legacy,2.316492614709566e-05,False,2.316492614709566e-05,3.969815887411803e-05,0.3951966323671474,0.1750528640205098,False
MXN,780,nnls_nonneg,1.5349519155252365e-05,False,1.5349519155252365e-05,3.969815887411803e-05,0.5820096153300619,0.6360596289283811,True
MXN,800,nnls_original_legacy,2.70578442711818e-05,False,2.70578442711818e-05,5.78000206894445e-05,0.7346342280611342,0.3771528500640344,False
MXN,800,nnls_nonneg,2.772414538149788e-05,False,2.772414538149788e-05,5.78000206894445e-05,0.7187118810166827,0.3501406309417427,True
MXN,820,nnls_original_legacy,2.663702658697774e-05,False,2.663702658697774e-05,2.9082512029559865e-05,0.058312417562832,0.0039729411793356,False
MXN,820,nnls_nonneg,1.9312441708423616e-05,False,1.9312441708423616e-05,2.9082512029559865e-05,0.232966596432805,0.0965076397969102,True
MXN,840,nnls_original_legacy,2.224291971583228e-05,False,2.224291971583228e-05,1.1731620119774383e-05,0.2494432339364206,0.1671676344806387,False
MXN,840,nnls_nonneg,2.8820725965871733e-05,False,2.8820725965871733e-05,1.1731620119774383e-05,0.40554089324321,0.3058619922123793,True
MXN,860,nnls_original_legacy,5.847342395833911e-05,False,5.847342395833911e-05,7.644192137274826e-05,0.4269142471450549,0.0393345076300266,False
MXN,860,nnls_nonneg,4.175655062644656e-05,False,4.175655062644656e-05,7.644192137274826e-05,0.8240911077645284,0.2259820776263823,True
MXN,880,nnls_original_legacy,3.450948837874773e-05,False,3.450948837874773e-05,0.0001553076176025,2.8094012749988857,1.9962588737700104,False
MXN,880,nnls_nonneg,3.636656312455002e-05,False,3.636656312455002e-05,0.0001553076176025,2.7662113001859514,1.8188577367681849,True
MXN,900,nnls_original_legacy,6.317451638488055e-05,False,6.317451638488055e-05,0.000193622346075,2.909631788480731,0.9448719488548788,False
MXN,900,nnls_nonneg,6.961587404247978e-05,False,6.961587404247978e-05,0.000193622346075,2.7659576541847977,0.758378939270425,True
MXN,920,nnls_original_legacy,2.5003006440545133e-05,False,2.5003006440545133e-05,1.7493452222884784e-05,0.1641317323256965,0.0568233732325502,False
MXN,920,nnls_nonneg,3.03445326026831e-05,False,3.03445326026831e-05,1.7493452222884784e-05,0.2808782018022668,0.1272840747336343,True
MXN,940,nnls_original_legacy,3.582787862645292e-05,False,3.582787862645292e-05,6.938888868216794e-05,0.7007755551760245,0.2757284937975015,False
MXN,940,nnls_nonneg,2.5425937753657785e-05,False,2.5425937753657785e-05,6.938888868216794e-05,0.9179747955427456,0.7251022490584111,True
MXN,960,nnls_original_legacy,3.172448735718732e-05,False,3.172448735718732e-05,3.580431108082344e-06,0.5911949623659427,1.294465812364221,False
MXN,960,nnls_nonneg,3.184317681930102e-05,False,3.184317681930102e-05,3.580431108082344e-06,0.5936881570734319,1.2977794232234698,True
MXN,980,nnls_original_legacy,2.729510114383844e-05,False,2.729510114383844e-05,5.178032234934008e-07,0.6062119385359628,2.983837782348589,False
MXN,980,nnls_nonneg,2.288453994064298e-05,False,2.288453994064298e-05,5.178032234934008e-07,0.5063611296539673,2.811248327201858,True
MXN,1000,nnls_original_legacy,2.608988455117507e-05,False,2.608988455117507e-05,5.217004090671793e-05,0.6129311530450164,0.3066664006642892,False
MXN,1000,nnls_nonneg,2.6417258006456672e-05,False,2.6417258006456672e-05,5.217004090671793e-05,0.605237280865472,0.2943560390767223,True
MXN,1020,nnls_original_legacy,3.439093319128143e-05,False,3.439093319128143e-05,3.558728084103287e-05,0.0292966148720935,0.0005913820392153,False
MXN,1020,nnls_nonneg,2.506445436228825e-05,False,2.506445436228825e-05,3.558728084103287e-05,0.2576869648029986,0.069293049742219,True
MXN,1040,nnls_original_legacy,2.4374859912378585e-05,False,2.4374859912378585e-05,0.0001202270205395,2.4969369190389847,2.336589410103553,False
MXN,1040,nnls_nonneg,2.2405379488522352e-05,False,2.2405379488522352e-05,0.0001202270205395,2.5482416402833685,2.6859083220322693,True
MXN,1060,nnls_original_legacy,2.624425648300376e-05,False,2.624425648300376e-05,9.398432019466764e-05,1.7659155748112048,1.3054578130148782,False
MXN,1060,nnls_nonneg,2.556177717492304e-05,False,2.556177717492304e-05,9.398432019466764e-05,1.783707126421727,1.3747223841820233,True
MXN,1080,nnls_original_legacy,5.0367324030966136e-05,False,5.0367324030966136e-05,0.000160768069649,2.816613347473092,1.0312919397071107,False
MXN,1080,nnls_nonneg,4.726866538706613e-05,False,4.726866538706613e-05,0.000160768069649,2.8956682781876224,1.1770400997750403,True
MXN,1100,nnls_original_legacy,3.656661228972024e-05,False,3.656661228972024e-05,3.666278515729663e-06,0.8425619920154376,1.4002214796899848,False
MXN,1100,nnls_nonneg,3.080419682210471e-05,False,3.080419682210471e-05,3.666278515729663e-06,0.6949892564751982,1.2474926211629396,True
MXN,1120,nnls_original_legacy,6.078921926649468e-05,False,6.078921926649468e-05,1.8628687742011607e-05,1.072137148677216,0.4891569424074558,False
MXN,1120,nnls_nonneg,4.696562251305534e-05,False,4.696562251305534e-05,1.8628687742011607e-05,0.7206047777181478,0.3213583328115423,True
MXN,1140,nnls_original_legacy,2.5296501400928257e-05,False,2.5296501400928257e-05,0.0001362784178008,2.959225341368244,2.7032098186815627,False
MXN,1140,nnls_nonneg,2.2428814862831937e-05,False,2.2428814862831937e-05,0.0001362784178008,3.035689426238178,3.271688379338948,True
MXN,1160,nnls_original_legacy,6.439171657533863e-05,False,6.439171657533863e-05,0.0002465958325511,4.390344908515322,1.4868547273380197,False
MXN,1160,nnls_nonneg,6.541273041480254e-05,False,6.541273041480254e-05,0.0002465958325511,4.365742813839206,1.4428108647657476,True
MXN,1180,nnls_original_legacy,4.831091443522952e-05,False,4.831091443522952e-05,9.708915850626451e-06,0.8394654402541932,0.8055802212664847,False
MXN,1180,nnls_nonneg,6.359468220488602e-05,False,6.359468220488602e-05,9.708915850626451e-06,1.1718366984774669,1.0321539052274955,True
MXN,1200,nnls_original_legacy,3.3290073380120565e-05,False,3.3290073380120565e-05,1.2011009950008635e-05,0.4406821201466489,0.3802340732157363,False
MXN,1200,nnls_nonneg,4.192773431781498e-05,False,4.192773431781498e-05,1.2011009950008635e-05,0.6195651216299076,0.5365931296695119,True
MXN,1220,nnls_original_legacy,3.3649774243405895e-05,False,3.3649774243405895e-05,2.289310438158815e-05,0.2132620605707531,0.0655051614188932,False
MXN,1220,nnls_nonneg,5.177854063731631e-05,False,5.177854063731631e-05,2.289310438158815e-05,0.5726835289654166,0.2582750303201435,True
MXN,1240,nnls_original_legacy,3.508681847294725e-05,False,3.508681847294725e-05,1.9536685265449408e-06,0.6061463707820898,1.9437975995709775,False
MXN,1240,nnls_nonneg,4.013221798964343e-05,False,4.013221798964343e-05,1.9536685265449408e-06,0.6984482077984393,2.0711513532671493,True
MXN,1260,nnls_original_legacy,4.46172265842863e-05,False,4.46172265842863e-05,0.0001513360638925,1.853955177796185,1.1704922680641443,False
MXN,1260,nnls_nonneg,3.501141092948056e-05,False,3.501141092948056e-05,0.0001513360638925,2.020830605971484,1.8586493794291208,True
MXN,1280,nnls_original_legacy,5.810791798758093e-05,False,5.810791798758093e-05,9.594327443383072e-05,0.5914190344297984,0.1496670291704287,False
MXN,1280,nnls_nonneg,6.540676586897646e-05,False,6.540676586897646e-05,9.594327443383072e-05,0.4773279309774667,0.0837393729741067,True
MXN,1300,nnls_original_legacy,4.405788854871251e-05,False,4.405788854871251e-05,8.462115764578331e-06,0.5418674587004858,0.8419733039535469,False
MXN,1300,nnls_nonneg,4.386417900712979e-05,False,4.386417900712979e-05,8.462115764578331e-06,0.5389186563901663,0.8384151010972487,True
