entity,n,qlike_mean_original,qlike_mean_smearing,mean_absolute_reduction,mean_relative_reduction,qlike_median_original,qlike_median_smearing,median_point_reduction,fraction_observations_improved,smearing_factor_median,smearing_factor_max
ARS,150,27.273930042983704,4.134237023523561,23.139693019460143,0.8484179941428315,1.2118870827903572,3.3737846055649636,-3.157437920814937,0.2733333333333333,141.4818629790105,367.2797912606303
BRL,150,5.385219959355913,1.6958837055006912,3.689336253855222,0.6850855269979496,1.4806116111016714,0.9764289296127161,-0.5419497895897055,0.44,9.85728994118325,16.37737603721125
BTC,138,15.531690421829662,4.115696126246038,11.415994295583623,0.7350129950786644,1.1317436666941145,3.536019574979739,-3.178158603053396,0.21739130434782608,85.73680062655677,806.8011985546044
CLP,150,8.317590620100217,2.953214877968854,5.364375742131363,0.6449434682644586,1.9686428728712952,1.7846452025695483,-0.6830074624111825,0.43333333333333335,13.063230148569533,132.14514175138882
COP,150,7703.841109270978,7.125034342244174,7696.716074928734,0.9990751322306388,1.2094037416351657,6.109777351827024,-5.459642936260315,0.15333333333333332,517.8073889480186,645599.8712696243
ETH,115,8.007214130878845,4.1213072038869125,3.8859069269919324,0.48530073799405543,1.42614390405386,3.955577594786953,-3.8664651895363242,0.2782608695652174,132.76505063773382,1102.5380866325054
GTQ,151,2218.8873120303333,46.0842380309625,2172.803073999371,0.9792309245354176,1.3178054444304323,2.9618604846761367,-2.6745035369406382,0.2980132450331126,52.03935916664899,134.47186274016332
MXN,151,6.066581147156733,1.9993957210752866,4.067185426081447,0.6704246308462622,0.9940119522270645,1.0306917097659931,-0.6998253557108796,0.423841059602649,7.448354323037666,12.690568286103007
PEN,150,24.69392111316388,3.2526958220619955,21.441225291101887,0.8682794924647248,4.882663176715511,2.4335360794053362,2.072052897386811,0.5266666666666666,101.51942645113053,5960.251552853668
__median_series__,9,15.531690421829662,4.115696126246038,11.415994295583623,0.7350129950786644,1.3178054444304323,2.9618604846761367,-2.6745035369406382,0.2980132450331126,85.73680062655677,367.2797912606303
__all__,1305,1152.8421505165147,8.564524870591224,1144.2776256459235,0.99257094749116,1.410947147136549,2.7689581625722584,-1.9210984990201803,0.34099616858237547,75.12518578219205,645599.8712696243
