entity,t0,variant,raw_pred,pred_negativa,positive_by_construction,yhat_clipped,y_test,mase,qlike_floor_1e-12,qlike_floor_1e-10,qlike_floor_1e-08,qlike_floor_1e-06,qlike
MXN,500,nnls_original_legacy,3.244704061748028e-05,False,False,3.244704061748028e-05,8.428466030064329e-05,0.6635374921482101,0.6430163721854871,0.6430163721854871,0.6430163721854871,0.6430163721854871,0.6430163721854871
MXN,500,nnls_intermedia_legacy,2.8689698384093004e-05,False,False,2.8689698384093004e-05,8.428466030064329e-05,0.7116326295777964,0.860140478436106,0.860140478436106,0.860140478436106,0.860140478436106,0.860140478436106
MXN,500,nnls_nonneg,3.087623792520073e-05,False,True,3.087623792520073e-05,8.428466030064329e-05,0.6836442502413749,0.7255450971808217,0.7255450971808217,0.7255450971808217,0.7255450971808217,0.7255450971808217
MXN,520,nnls_original_legacy,8.301668183608918e-05,False,False,8.301668183608918e-05,0.000446781782022138,4.884996908553785,2.6988026453377274,2.6988026453377274,2.6988026453377274,2.6988026453377274,2.6988026453377274
MXN,520,nnls_intermedia_legacy,7.199948902193731e-05,False,False,7.199948902193731e-05,0.000446781782022138,5.032946650875264,3.3799352969738665,3.3799352969738665,3.3799352969738665,3.3799352969738665,3.3799352969738665
MXN,520,nnls_nonneg,8.46699880508412e-05,False,True,8.46699880508412e-05,0.000446781782022138,4.862794680402086,2.6134340947959225,2.6134340947959225,2.6134340947959225,2.6134340947959225,2.6134340947959225
MXN,540,nnls_original_legacy,4.5695508622812415e-05,False,False,4.5695508622812415e-05,0.0004439620409388863,5.755873400652901,6.441921290188528,6.441921290188528,6.441921290188528,6.441921290188528,6.441921290188528
MXN,540,nnls_intermedia_legacy,5.1708274094526386e-05,False,False,5.1708274094526386e-05,0.0004439620409388863,5.668975019707509,5.4357781712035385,5.4357781712035385,5.4357781712035385,5.4357781712035385,5.4357781712035385
MXN,540,nnls_nonneg,4.675186015034554e-05,False,True,4.675186015034554e-05,0.0004439620409388863,5.740606675568802,6.245251378804866,6.245251378804866,6.245251378804866,6.245251378804866,6.245251378804866
MXN,560,nnls_original_legacy,2.771690187537856e-05,False,False,2.771690187537856e-05,0.00012421616718056084,1.5679884858369195,1.9816226699312791,1.9816226699312791,1.9816226699312791,1.9816226699312791,1.9816226699312791
MXN,560,nnls_intermedia_legacy,3.4343647765986344e-05,False,False,3.4343647765986344e-05,0.00012421616718056084,1.4603124198878232,1.331253781732892,1.331253781732892,1.331253781732892,1.331253781732892,1.331253781732892
MXN,560,nnls_nonneg,3.445393491371687e-05,False,True,3.445393491371687e-05,0.00012421616718056084,1.4585203961119908,1.3228823391663482,1.3228823391663482,1.3228823391663482,1.3228823391663482,1.3228823391663482
MXN,580,nnls_original_legacy,3.280167511522565e-05,False,False,3.280167511522565e-05,0.00016568927978349567,2.3002077577305857,2.4316098212797104,2.4316098212797104,2.4316098212797104,2.4316098212797104,2.4316098212797104
MXN,580,nnls_intermedia_legacy,3.9370921199662054e-05,False,False,3.9370921199662054e-05,0.00016568927978349567,2.18649789860879,1.7713309301954032,1.7713309301954032,1.7713309301954032,1.7713309301954032,1.7713309301954032
MXN,580,nnls_nonneg,3.99783581227116e-05,False,True,3.99783581227116e-05,0.00016568927978349567,2.1759835159752967,1.722698384682296,1.722698384682296,1.722698384682296,1.722698384682296,1.722698384682296
MXN,600,nnls_original_legacy,3.6968297884480106e-05,False,False,3.6968297884480106e-05,0.00017495858549953087,2.4132736136774118,2.1781768723972847,2.1781768723972847,2.1781768723972847,2.1781768723972847,2.1781768723972847
MXN,600,nnls_intermedia_legacy,5.1657942322802664e-05,False,False,5.1657942322802664e-05,0.00017495858549953087,2.1563705233946986,1.1669617678275097,1.1669617678275097,1.1669617678275097,1.1669617678275097,1.1669617678275097
MXN,600,nnls_nonneg,4.89330503386227e-05,False,True,4.89330503386227e-05,0.00017495858549953087,2.204025398525384,1.3013723630512621,1.3013723630512621,1.3013723630512621,1.3013723630512621,1.3013723630512621
MXN,620,nnls_original_legacy,3.235809603968284e-05,False,False,3.235809603968284e-05,7.990637415081531e-05,0.8331506587764059,0.5654485491245356,0.5654485491245356,0.5654485491245356,0.5654485491245356,0.5654485491245356
MXN,620,nnls_intermedia_legacy,3.7346306191839e-05,False,False,3.7346306191839e-05,7.990637415081531e-05,0.7457462197624298,0.37898420515330544,0.37898420515330544,0.37898420515330544,0.37898420515330544,0.37898420515330544
MXN,620,nnls_nonneg,3.6840330927513175e-05,False,True,3.6840330927513175e-05,7.990637415081531e-05,0.7546120218806968,0.3947293261733642,0.3947293261733642,0.3947293261733642,0.3947293261733642,0.3947293261733642
MXN,640,nnls_original_legacy,6.325668818277137e-05,False,False,6.325668818277137e-05,1.1534596235692525e-05,0.8932459942123854,0.8841958526872731,0.8841958526872731,0.8841958526872731,0.8841958526872731,0.8841958526872731
