d_res,rho,leak,noise_win_rate_esn,noise_esn_median,noise_static_median,shock_overall_win_rate_esn,shock_problem_location,shock_problem_location_win_rate_esn,shock_problem_location_mase_ratio_esn_over_static
25,0.5,0.25,0.5417935702199661,0.43329367271052305,0.46043379719959193,0.54,10000,0.6,1.2330312291164192
25,0.5,0.5,0.5752961082910322,0.40358454803785726,0.46043379719959193,0.58,10000,0.7,1.1993921366504319
25,0.5,1.0,0.5346869712351946,0.43157672987331175,0.46043379719959193,0.54,10000,0.5,1.7480715781561145
25,0.9,0.25,0.5417935702199662,0.4437166724250459,0.46043379719959193,0.66,10000,0.5,5.053782052052836
25,0.9,0.5,0.5837563451776651,0.41336722751525007,0.46043379719959193,0.74,10000,0.7,1.8427237340540707
25,0.9,1.0,0.5289340101522843,0.4533404360225961,0.46043379719959193,0.46,10000,0.5,3.0221376288446686
25,0.99,0.25,0.5411167512690355,0.44609325203821903,0.46043379719959193,0.64,10000,0.4,3.707876388199408
25,0.99,0.5,0.5827411167512692,0.4084164678275582,0.46043379719959193,0.72,10000,0.7,2.6141906356190465
25,0.99,1.0,0.5218274111675127,0.44827103244762706,0.46043379719959193,0.46,10000,0.6,1.4157003727883912
50,0.5,0.25,0.6047377326565144,0.363527400764234,0.463910494765944,0.76,10000,0.8,0.5478794760992471
50,0.5,0.5,0.6179357021996617,0.35929480021219085,0.463910494765944,0.84,10000,0.9,0.7184209153472835
50,0.5,1.0,0.5404399323181048,0.43798361727847474,0.463910494765944,0.44,10000,0.4,4.35628783691993
50,0.9,0.25,0.5976311336717427,0.3738357805208782,0.463910494765944,0.7,10000,0.7,1.7406999802782503
50,0.9,0.5,0.6033840947546532,0.36903614840027027,0.463910494765944,0.64,10000,0.5,2.4065932524764
50,0.9,1.0,0.5475465313028766,0.435442027643382,0.463910494765944,0.4,10000,0.3,0.9797533050852237
50,0.99,0.25,0.5884940778341794,0.372718664089685,0.463910494765944,0.72,10000,0.6,2.0192522391112044
50,0.99,0.5,0.605414551607445,0.37004651551721063,0.463910494765944,0.58,10000,0.3,2.7543847700119737
50,0.99,1.0,0.5455160744500847,0.42796737408727725,0.463910494765944,0.44,10000,0.3,1.0676609003635131
100,0.5,0.25,0.6331641285956007,0.33193946924024115,0.4669964238386055,0.74,10000,0.8,0.8104348947812925
100,0.5,0.5,0.6480541455160744,0.33451789821922917,0.4669964238386055,0.86,10000,0.8,1.3771584698025312
100,0.5,1.0,0.5600676818950932,0.40915026033018165,0.4669964238386055,0.52,10000,0.6,0.9609613424513676
100,0.9,0.25,0.6250423011844332,0.33896642516720327,0.4669964238386055,0.76,10000,0.6,3.5850429488526174
100,0.9,0.5,0.637901861252115,0.3405211144911362,0.4669964238386055,0.66,10000,0.5,1.792656279165691
100,0.9,1.0,0.5705583756345177,0.41422882004687833,0.4669964238386055,0.34,10000,0.3,8.681484925230333
100,0.99,0.25,0.6186125211505922,0.3559756541842864,0.4669964238386055,0.76,10000,0.6,1.4368983690334836
100,0.99,0.5,0.6375634517766497,0.34137303692334114,0.4669964238386055,0.66,10000,0.5,2.460990130739387
100,0.99,1.0,0.571912013536379,0.42633179590532133,0.4669964238386055,0.4,10000,0.5,2.243192009612576
