regime,horizon,ssrc_median,ssrc_iqr,ssrc_ci_low,ssrc_ci_high,static_median,static_iqr,ridge_median,ols_median,win_rate_vs_static,win_rate_vs_ridge,win_rate_vs_ols
clean_1step,1,0.023292025805384857,0.007619537953662502,0.01365212973758377,0.0434597011203275,0.012131458093631114,0.0017653277908947617,0.24790328312963697,0.25048877482725573,0.03333333333333333,1.0,1.0
clean_multistep,5,0.21321751838240205,0.08351248859706156,0.1240420600681907,0.418171882897803,0.1229230610747984,0.018935639363273915,1.4481040319941907,1.5265814469849595,0.06666666666666667,1.0,1.0
clean_multistep,10,0.5673704731805272,0.23818145290618614,0.2990482631819054,1.4941448731272646,0.3393695879185734,0.04215330600610789,2.4068467190342187,2.417193143479083,0.06666666666666667,1.0,1.0
noise_0.1,1,0.4255220981008285,0.020421594296811507,0.4025603698842173,0.44507312568657725,0.49021945137526524,0.008393517705877984,0.6406349633674719,0.6517459677490617,1.0,1.0,1.0
noise_0.5,1,0.709985357603458,0.027548393510379632,0.6651794092141387,0.746343893007725,0.7262652452137857,0.01754752220238731,0.7411574306329591,0.7372322461111431,0.7,0.9,0.9
shock_15sigma,1,0.08460787533739726,0.14303806573643954,0.006141031078771118,0.3984706564225739,0.12074193440196773,0.30178505555670443,0.36077267784413836,0.3607084074461265,0.5,0.9333333333333333,0.9333333333333333
shock_50sigma,1,0.7125427981186119,0.20726326690860442,0.05495791199251216,1.0084745816284584,0.6893159734644605,0.16277334147705336,0.11777828706268456,0.10629044939863785,0.36666666666666664,0.1,0.1
