mode,mase_mediana,mase_media,n
ssrc,0.08862927033387505,0.11851076521237201,1475
ridge,0.2521894171601524,0.2872762878424627,1475
ols,0.25234635732006794,0.28612700251157175,1475
naive,0.8613705680415826,1.003408400112547,1475
nnls,0.8736639598802906,1.0073025527241897,1475
pls,1.995561170782108,2.1733757643719978,1475
