seed,window_start,regime,horizon,mase_ssrc,mase_static,mase_ridge,mase_ols
100,0,clean_multistep,5,1.6045144075564772,0.1556793329424794,0.8092195262296119,0.6228108894308383
100,0,clean_multistep,10,9.25183316207168,0.3490298307944413,3.5049451291256446,3.265288584742127
100,0,clean_1step,1,0.06068756485911105,0.008074744014535874,0.0006925826267363358,0.030596942248167933
100,40,clean_multistep,5,0.2308571768729437,0.012378935779500553,0.3802878958678736,0.38004913626489106
100,40,clean_multistep,10,2.7910563681866063,0.1366396148898823,0.44820525690322743,0.44749983288191614
100,40,clean_1step,1,0.014706030172059202,0.004787663229453083,0.18452442847059347,0.18447629029639756
100,80,clean_multistep,5,0.0656184587906786,0.29109562293609786,3.3289712885474048,3.242270991913184
100,80,clean_multistep,10,0.10630985338383234,0.2971606436708876,2.8031100044417814,2.754206574325539
100,80,clean_1step,1,0.009207283772992493,0.013701936285299967,0.3874795333777793,0.36315665042898987
100,120,clean_multistep,5,0.6816483783776986,0.2513178426601476,1.6860717744520848,1.687586773272503
100,120,clean_multistep,10,5.731080015170874,1.931131280225852,1.9325861176568866,1.933938793282075
100,120,clean_1step,1,0.051199440445109316,0.007954419439626671,0.24597727813099846,0.2462209683200072
100,160,clean_multistep,5,0.12650524519085166,0.18994301410329165,1.6694741168823237,1.4536541082715368
100,160,clean_multistep,10,0.19091877114399622,0.11934964020691773,1.605811372696422,1.4857064153621489
100,160,clean_1step,1,0.0333988832390714,0.035311442714621,0.6345054097723241,0.5717600358417816
100,200,clean_multistep,5,0.17697327858767112,0.06929708318323406,2.462865904434932,2.693722005900294
100,200,clean_multistep,10,0.3822632753190593,0.528178011047729,5.077320057322899,5.327239686432094
100,200,clean_1step,1,0.01868135284444315,0.023904115878202747,0.3205471270396075,0.3489231759266837
100,240,clean_multistep,5,0.21346093838139366,0.016213471701569247,0.3687877827514883,0.5528927731156998
100,240,clean_multistep,10,2.423239548589509,0.2127515237023442,1.2944607182108534,1.5155644793103216
100,240,clean_1step,1,0.0024350769741940054,0.0026816144304974807,0.45777144854715046,0.36923103322208456
100,280,clean_multistep,5,1.5785078568406734,0.0793282721600098,2.235635696610721,2.199864581191132
100,280,clean_multistep,10,2.2654579147497325,0.26157100730072663,4.323473548857477,4.284501087414171
100,280,clean_1step,1,0.10017358856349866,0.0009536482812729814,0.1782782138035083,0.16870526051108165
100,320,clean_multistep,5,0.40965823599270823,0.021515226574726237,0.5492234211114361,0.6682211569395673
100,320,clean_multistep,10,1.371319469677367,0.13531589317417464,2.7002205958350394,3.127762639166069
100,320,clean_1step,1,0.07345508889889991,0.00616969056021974,0.32479715942187365,0.37548632983625635
100,360,clean_multistep,5,1.0205057211917457,0.291194849594179,2.1144790338375774,1.9687629696384032
100,360,clean_multistep,10,0.9321062770299993,0.39904340229791097,1.9572106040588058,1.7152627846269504
100,360,clean_1step,1,0.12801337259833534,0.009957549475787782,0.36401618041500916,0.33275553284863774
100,400,clean_multistep,5,0.295671333565334,0.37152326545014946,1.8689047937502627,1.8685815789311468
100,400,clean_multistep,10,0.6205701250205046,0.5623172274170786,3.2700113304999023,3.2695750768152827
100,400,clean_1step,1,0.0186538599234285,0.017878386064129097,0.11751496437620523,0.11748677083228148
100,440,clean_multistep,5,0.6800669548594547,0.027946584349636802,0.9839977754343963,0.9839365582348408
100,440,clean_multistep,10,3.1429672632656716,0.3916380734281079,1.179495406706732,1.1795795165945702
100,440,clean_1step,1,0.04291265637258773,0.005720035917363398,0.20236141165717883,0.20236070640254203
100,480,clean_multistep,5,0.25334660340920084,0.04065207246472511,1.285743671774257,1.2849946010703166
100,480,clean_multistep,10,0.272223092864909,0.035626901625948594,1.6403729845478867,1.6446802350833196
100,480,clean_1step,1,0.007386953311863923,0.007808627246575988,0.5684700868410971,0.5708044807132011
100,520,clean_multistep,5,0.11883424513112677,0.19925983034180575,2.473575861712516,2.481117448423404
100,520,clean_multistep,10,0.48505338445952084,0.4560502386836896,4.893119314152563,4.900933192552213
100,520,clean_1step,1,0.02581308772059811,0.020834773882530605,0.3198037367340524,0.32050743667404685
100,560,clean_multistep,5,0.1488192471257155,0.03361649824565363,0.31316038345104635,0.5793755885469623
100,560,clean_multistep,10,0.7877210311010066,0.1895541505953899,0.9780184987063546,1.2589008679887541
100,560,clean_1step,1,0.03763091678590338,0.014053396817995126,0.3257473208552481,0.25048102297576863
100,600,clean_multistep,5,1.5680479840894508,0.30201872521366563,0.6306252284678516,0.6471693547771344
100,600,clean_multistep,10,6.863211167065249,1.521816537735246,3.4650263253269475,3.4954167712136863
100,600,clean_1step,1,0.07593302404684553,0.019572967317447173,0.04741611683375321,0.0488661090985441
100,640,clean_multistep,5,1.382494287309053,0.16489652825242518,0.17690024202394972,0.5286890487707343
100,640,clean_multistep,10,3.173004155201123,0.5409317565833001,1.88468362307577,1.6935203571971669
100,640,clean_1step,1,0.06812088352121701,0.015711134593781706,0.050985750603653575,0.09234047156495312
100,680,clean_multistep,5,0.14764699867464284,0.2881823394349141,2.189710989568225,1.9755368539602687
100,680,clean_multistep,10,0.300854558460693,0.2034553107163969,2.2145861939190454,2.099283662674265
100,680,clean_1step,1,0.0133226994751188,0.05456076330664136,0.7202723944988089,0.6620968154931259
100,720,clean_multistep,5,0.1702284117308029,0.6155804682238626,2.424279732770689,2.4243057548442732
100,720,clean_multistep,10,0.3320973872970547,0.5354702087445796,1.759970094335124,1.7599803044921583
100,720,clean_1step,1,0.057489390774379485,0.05072383784905808,0.38157345454476255,0.38158676671373565
100,760,clean_multistep,5,0.24741967751805566,0.34372131052033045,1.9875120860469184,1.9877299370651067
100,760,clean_multistep,10,3.0403214490814925,2.6995398265036794,3.3112650095281038,3.3115256490218603
100,760,clean_1step,1,0.02082157730234643,0.029716451395267133,0.2970951160027911,0.2971197234562109
100,800,clean_multistep,5,0.21060195059623527,0.003431191211545212,2.174688438718143,2.093392427262467
100,800,clean_multistep,10,0.6826828067880133,0.06923255957511565,2.2217711469028174,2.1133071252182236
100,800,clean_1step,1,0.0619770281475877,0.004643019856010156,0.4584379829321711,0.46805942662329486
100,840,clean_multistep,5,0.5823627437038207,0.026310166964924105,0.7281375926468857,0.7545946492270856
100,840,clean_multistep,10,3.0228905054792574,0.25130493260571185,3.400740461128527,3.4227444035989754
100,840,clean_1step,1,0.0161896517629491,0.0007897724680266021,0.08103798816296527,0.08387289175090622
100,880,clean_multistep,5,0.13377867823277081,0.09974842583519208,0.14789179510218298,0.33666012780841303
100,880,clean_multistep,10,3.7598534579232306,0.6153355670750119,0.9840182458555298,0.9521754950299882
100,880,clean_1step,1,0.017940686597136844,0.001310576227865769,0.11524073687147854,0.08818828778861146
100,920,clean_multistep,5,0.1556326408239944,0.16700222570723702,0.7855272788695365,0.7810655405462121
