regime,horizon,diff_mean_vs_ridge,ci_vs_ridge_2.5,ci_vs_ridge_97.5,diff_mean_vs_static,ci_vs_static_2.5,ci_vs_static_97.5
clean_1step,1,-0.24207740162698368,-0.26159934660666856,-0.22599650940007462,0.016019621647426423,0.011184386685341014,0.021399125261864327
clean_multistep,5,-1.2989418620259723,-1.396256292778441,-1.2025395597206163,0.20403513356582437,0.14396579677601548,0.270796996152625
clean_multistep,10,-1.2904483040935621,-1.5390421438721968,-1.033833552531495,0.7896869220146596,0.5576449871963819,1.0432382545298782
noise_0.1_filtering,1,-0.2718982110241825,-0.3150457045711756,-0.23185039867866772,-0.036411803437588444,-0.058677135300655124,-0.016298263569442965
noise_0.1_observational,1,-0.23564629133764134,-0.2813679848616678,-0.19606113245164036,-0.03479745038040747,-0.05167410429802907,-0.01724588638408165
noise_0.5_filtering,1,-0.08723366553287346,-0.11851906814121319,-0.056971366607127,-0.042989498046591475,-0.06333958069512768,-0.021283903830999373
noise_0.5_observational,1,-0.057594120973041854,-0.09102698643340769,-0.023158252240764225,-0.026179337396728553,-0.04666058876151948,-0.005914253114443273
shock_15sigma,1,0.9274774911536383,-0.232735689955415,3.093182544012777,0.9298298530590104,-0.030958155224871164,2.787352487067477
shock_50sigma,1,1.1305819801640686,-0.3158180403958794,3.7102501630997806,1.1561974744918104,0.019499306929453307,3.4601689412015277
