degree,expected_exponent,location,sign,slope,intercept,absolute_error,n_fit
2,4,4000,-1,4.045953817234626,-1.326581449788911,0.04595381723462566,3
2,4,4000,1,3.9255837379474907,-0.7509353209081563,0.07441626205250929,3
2,4,9000,-1,4.009930773200643,-1.1547808083877804,0.00993077320064284,3
2,4,9000,1,3.9600890050457003,-0.9163918286937017,0.03991099495429973,3
2,4,14000,-1,4.158552350635223,-1.8651090168391822,0.15855235063522333,3
2,4,14000,1,3.8157583982284504,-0.2249179514547839,0.18424160177154958,3
3,6,4000,-1,6.090727189348358,-2.2791855970599157,0.09072718934835766,3
3,6,4000,1,5.90592110338244,-1.3979926989581222,0.0940788966175603,3
3,6,9000,-1,6.036209415133676,-2.0194108951249574,0.03620941513367626,3
3,6,9000,1,5.959591549818461,-1.6540939544583961,0.04040845018153938,3
3,6,14000,-1,6.269045723213593,-3.1267012214863064,0.2690457232135932,3
3,6,14000,1,5.740942286887415,-0.6083659925933541,0.2590577131125853,3
4,8,4000,-1,8.122325639091684,-3.011390339202679,0.12232563909168448,3
4,8,4000,1,7.875723073589347,-1.8356497909445193,0.12427692641065313,3
4,8,9000,-1,8.049264440826986,-2.6634232661396933,0.049264440826986444,3
4,8,9000,1,7.947040724090592,-2.17605490399568,0.052959275909407744,3
4,8,14000,-1,8.362330638937296,-4.151079508030638,0.362330638937296,3
4,8,14000,1,7.657032994762822,-0.7884156535780292,0.3429670052371776,3
