escenario,t0,lambda_relativa,lambda_ajuste_completo,mae_validacion,error_absoluto_oos,seleccionada_nested,heuristica_traza_legacy
limpio,500,1e-08,9.941638231933368e-06,0.07433693305855468,0.04669396801538117,False,False
limpio,500,1e-06,0.0009941638231933366,0.07432784796936458,0.04662566916761823,False,False
limpio,500,0.0001,0.09941638231933368,0.0739254602267631,0.04610800555879874,True,False
limpio,500,0.001,0.9941638231933367,0.08339067276041616,0.043617997259012276,False,False
limpio,500,0.01,9.941638231933368,0.15147755561513768,0.04943337092900191,False,False
limpio,500,0.1,99.41638231933368,0.28780662167212123,0.12574997439802282,False,True
limpio,500,1.0,994.1638231933367,0.4745465118206067,0.2622005429927994,False,False
limpio,500,10.0,9941.638231933368,0.721645645696287,0.3838897107137638,False,False
limpio,500,100.0,99416.38231933367,0.8068389098704805,0.4152090113835693,False,False
limpio,1500,1e-08,1.1131170386197036e-05,0.06265426461085744,0.10269576295214145,True,False
limpio,1500,1e-06,0.0011131170386197036,0.06266389093029594,0.10344099088708059,False,False
limpio,1500,0.0001,0.11131170386197037,0.06283610873611037,0.07933482891186094,False,False
limpio,1500,0.001,1.1131170386197036,0.08825564242546535,0.07247091661390204,False,False
limpio,1500,0.01,11.131170386197036,0.1554687965420964,0.313447835854305,False,False
limpio,1500,0.1,111.31170386197037,0.2809688286781433,0.49790016778815505,False,True
limpio,1500,1.0,1113.1170386197036,0.4711573808738298,0.1298056328594595,False,False
limpio,1500,10.0,11131.170386197036,0.7593017472181143,0.6929541857326588,False,False
limpio,1500,100.0,111311.70386197037,0.8980521533398803,0.6197165793631277,False,False
limpio,3000,1e-08,1.0964939257577573e-05,0.06266427187369451,0.09239083391166703,False,False
limpio,3000,1e-06,0.0010964939257577574,0.06261148087210967,0.09207164108638022,False,False
limpio,3000,0.0001,0.10964939257577573,0.06258091812007845,0.10244871996111393,True,False
limpio,3000,0.001,1.0964939257577573,0.08463213791452341,0.16877344463809196,False,False
limpio,3000,0.01,10.964939257577573,0.14833092031412856,0.3002046548370436,False,False
limpio,3000,0.1,109.64939257577574,0.2765993847751725,0.5567530629292784,False,True
limpio,3000,1.0,1096.4939257577573,0.4419294984303929,0.8818795630678586,False,False
limpio,3000,10.0,10964.939257577573,0.693583486994238,1.093938489862243,False,False
limpio,3000,100.0,109649.39257577574,0.7912129269169236,1.1209424783655988,False,False
limpio,5000,1e-08,1.1944105919636134e-05,0.0743864145175,0.020509515615837248,False,False
limpio,5000,1e-06,0.0011944105919636132,0.07435757404658166,0.02061222465931367,True,False
limpio,5000,0.0001,0.11944105919636135,0.07439435161609208,0.03572793452463374,False,False
limpio,5000,0.001,1.1944105919636134,0.09571531887442754,0.10141714907929766,False,False
limpio,5000,0.01,11.944105919636133,0.15932894368107914,0.15236330728683867,False,False
limpio,5000,0.1,119.44105919636134,0.3161944843938922,0.10920977382003416,False,True
limpio,5000,1.0,1194.4105919636133,0.510854842018577,0.20408920497879457,False,False
limpio,5000,10.0,11944.105919636133,0.7312857654587442,0.9608578080580703,False,False
limpio,5000,100.0,119441.05919636134,0.8488661968384669,1.4607534077812194,False,False
limpio,7000,1e-08,1.2580057162096655e-05,0.04592811699506025,0.05630501354497669,False,False
limpio,7000,1e-06,0.0012580057162096653,0.04571589265801026,0.05599880105308419,True,False
limpio,7000,0.0001,0.12580057162096656,0.04595769562663144,0.033443360218840146,False,False
limpio,7000,0.001,1.2580057162096656,0.07502096976951597,0.04470159646466626,False,False
limpio,7000,0.01,12.580057162096654,0.14235158701404635,0.02351746305419694,False,False
limpio,7000,0.1,125.80057162096655,0.22735314622093006,0.26748601651219606,False,True
limpio,7000,1.0,1258.0057162096655,0.43653289399947753,0.33819809305972515,False,False
limpio,7000,10.0,12580.057162096655,0.8963409662315699,0.04569807531697123,False,False
limpio,7000,100.0,125800.57162096654,1.1551028252801918,0.32201504710955675,False,False
limpio,9000,1e-08,1.0889841500303392e-05,0.060699222760817184,0.09715827422479872,False,False
limpio,9000,1e-06,0.0010889841500303392,0.060670434003281336,0.0969208553816181,True,False
limpio,9000,0.0001,0.10889841500303392,0.06312814079890844,0.09453493544350722,False,False
limpio,9000,0.001,1.0889841500303392,0.09030035760237892,0.09724913525954015,False,False
limpio,9000,0.01,10.889841500303392,0.14489167238334283,0.07254702358969767,False,False
limpio,9000,0.1,108.89841500303392,0.2723810405293234,0.2324550800087879,False,True
limpio,9000,1.0,1088.9841500303392,0.4869063674421714,0.9188512530948625,False,False
limpio,9000,10.0,10889.841500303392,0.7017035893245719,1.4109836906267514,False,False
limpio,9000,100.0,108898.41500303391,0.765363267693184,1.4059849408134144,False,False
limpio,11000,1e-08,9.967143269142248e-06,0.07522709364656398,0.06971320542054604,False,False
limpio,11000,1e-06,0.0009967143269142247,0.07520107842677995,0.06973257958278545,False,False
limpio,11000,0.0001,0.09967143269142248,0.07415874139389267,0.06520621562002071,True,False
limpio,11000,0.001,0.9967143269142248,0.0873378542334012,0.03469129431329987,False,False
limpio,11000,0.01,9.967143269142248,0.155129592632003,0.0023564763022260182,False,False
limpio,11000,0.1,99.67143269142248,0.29617362720861484,0.12959550262469516,False,True
limpio,11000,1.0,996.7143269142248,0.48796295336578743,0.2730364036542147,False,False
limpio,11000,10.0,9967.143269142249,0.7364270626578153,0.3366086788074597,False,False
limpio,11000,100.0,99671.43269142248,0.8221130974020662,0.3500193249471709,False,False
shock_15sigma,500,1e-08,9.941638231933368e-06,0.07433693305855468,0.04669396801538117,False,False
shock_15sigma,500,1e-06,0.0009941638231933366,0.07432784796936458,0.04662566916761823,False,False
shock_15sigma,500,0.0001,0.09941638231933368,0.0739254602267631,0.04610800555879874,True,False
