H,sigma_ruido,semilla,t0,mode,mase_acumulado,lambda_elegida,lambda_relativa,mae_validacion,lambda_traza_legacy,n_inner_train,n_validacion
5,0.0,0,500,ols,1.838745099835786,,,,,,
5,0.0,0,500,ridge,1.926007909980921,0.0938294641527636,0.0001,0.07077534304786232,93.82946415276359,400.0,100.0
5,0.0,0,500,nnls,2.4850394451403233,,,,,,
5,0.0,0,500,ssrc,0.08591694262762123,0.0002244722252062281,1e-06,0.01829748857763573,22.447222520622812,400.0,100.0
5,0.0,0,500,naive,2.410575968730671,,,,,,
5,0.0,0,560,ols,1.2379751890812825,,,,,,
5,0.0,0,560,ridge,1.2208929965549675,0.0008989322373544249,1e-06,0.06143615335495702,89.8932237354425,400.0,100.0
5,0.0,0,560,nnls,1.926159929924355,,,,,,
5,0.0,0,560,ssrc,0.9118573445458206,0.022152064656616236,0.0001,0.022894733928562686,22.152064656616236,400.0,100.0
5,0.0,0,560,naive,1.736594777158377,,,,,,
5,0.0,0,620,ols,1.3730730082416491,,,,,,
5,0.0,0,620,ridge,1.3730900109916153,8.599140549129262e-06,1e-08,0.046564246308705856,85.99140549129262,400.0,100.0
5,0.0,0,620,nnls,3.4203431840732277,,,,,,
5,0.0,0,620,ssrc,0.06017465682398831,0.022155524748841283,0.0001,0.026607606775899885,22.155524748841284,400.0,100.0
5,0.0,0,620,naive,3.0448642194312665,,,,,,
5,0.0,0,680,ols,2.8400167629578044,,,,,,
5,0.0,0,680,ridge,2.857508317795333,0.09071588283267383,0.0001,0.06577286641826992,90.71588283267383,400.0,100.0
5,0.0,0,680,nnls,3.0328012347032667,,,,,,
5,0.0,0,680,ssrc,0.7920862014308756,0.02209925107364165,0.0001,0.023205607626132167,22.09925107364165,400.0,100.0
5,0.0,0,680,naive,2.699541251446002,,,,,,
5,0.0,0,740,ols,2.8444277579132673,,,,,,
5,0.0,0,740,ridge,2.932671875774686,0.09061027961553869,0.0001,0.06371197886900194,90.61027961553869,400.0,100.0
5,0.0,0,740,nnls,3.8430933638287166,,,,,,
5,0.0,0,740,ssrc,0.22020259965916786,0.0224282886668296,0.0001,0.0349168925469419,22.4282886668296,400.0,100.0
5,0.0,0,740,naive,3.6379473080856415,,,,,,
5,0.0,0,800,ols,2.1447108656085385,,,,,,
5,0.0,0,800,ridge,2.137747207556029,0.09267481219443459,0.0001,0.06410070769326474,92.6748121944346,400.0,100.0
5,0.0,0,800,nnls,2.4157830877310764,,,,,,
5,0.0,0,800,ssrc,0.20842915402551754,2.2631240215139328e-06,1e-08,0.02711732236856425,22.63124021513933,400.0,100.0
5,0.0,0,800,naive,2.3801683377462557,,,,,,
5,0.0,0,860,ols,1.1168753897849415,,,,,,
5,0.0,0,860,ridge,1.2949580101556832,0.09278784638891643,0.0001,0.0719658567693418,92.78784638891644,400.0,100.0
5,0.0,0,860,nnls,1.862308931824906,,,,,,
5,0.0,0,860,ssrc,1.0467889739191865,2.2599296525165234e-06,1e-08,0.02627290379151135,22.599296525165233,400.0,100.0
5,0.0,0,860,naive,1.6383383717981028,,,,,,
5,0.0,0,920,ols,3.23973830689954,,,,,,
5,0.0,0,920,ridge,2.7815622146807546,0.09252661718897169,0.0001,0.06847108358451254,92.5266171889717,400.0,100.0
5,0.0,0,920,nnls,1.8017066054305593,,,,,,
5,0.0,0,920,ssrc,0.06544045467237362,0.00022700627918464185,1e-06,0.025305812961117863,22.70062791846419,400.0,100.0
5,0.0,0,920,naive,1.7301014048618502,,,,,,
5,0.0,0,980,ols,2.109682863898446,,,,,,
5,0.0,0,980,ridge,1.671032177843115,0.09458144153633452,0.0001,0.07330763739872546,94.58144153633452,400.0,100.0
5,0.0,0,980,nnls,1.1169140560352537,,,,,,
