nivel_ruido,variante,semilla,mode,mase_mediana,lambda_mediana,lambda_relativa_mediana,n_ventanas
0.05,target_limpio,3,ridge,0.4855917284541849,0.08703617316738906,0.0001,1475
0.05,target_limpio,3,ssrc,0.23198659751491982,0.024314395651770685,0.0001,1475
0.05,target_limpio,4,naive,0.8613705680415826,,,1475
0.05,target_limpio,4,nnls,0.8957434098288366,,,1475
0.05,target_limpio,4,ols,0.5122636076958659,,,1475
0.05,target_limpio,4,ridge,0.51804983108459,0.0890674390083233,0.0001,1475
0.05,target_limpio,4,ssrc,0.2533881587160929,0.024963024520452282,0.0001,1475
0.05,target_ruidoso,0,naive,0.8788030267037131,,,1475
0.05,target_ruidoso,0,nnls,0.8913028552088271,,,1475
0.05,target_ruidoso,0,ols,0.5011673997536004,,,1475
0.05,target_ruidoso,0,ridge,0.5057750597012995,0.08916735341419646,0.0001,1475
0.05,target_ruidoso,0,ssrc,0.28783513357192064,0.22606124971523264,0.001,1475
0.05,target_ruidoso,1,naive,0.8589061030040974,,,1475
0.05,target_ruidoso,1,nnls,0.8647308219570207,,,1475
0.05,target_ruidoso,1,ols,0.5033134694824605,,,1475
0.05,target_ruidoso,1,ridge,0.5028787057713066,0.09146330986155671,0.0001,1475
0.05,target_ruidoso,1,ssrc,0.28193605584577763,0.22535947544667229,0.001,1475
0.05,target_ruidoso,2,naive,0.8820748358494125,,,1475
0.05,target_ruidoso,2,nnls,0.8820944051797701,,,1475
0.05,target_ruidoso,2,ols,0.4927284363563593,,,1475
0.05,target_ruidoso,2,ridge,0.5020447892673436,0.09142161680280741,0.0001,1475
0.05,target_ruidoso,2,ssrc,0.27654634619016427,0.22530872788735723,0.001,1475
0.05,target_ruidoso,3,naive,0.8679549719472142,,,1475
0.05,target_ruidoso,3,nnls,0.8960856104402726,,,1475
0.05,target_ruidoso,3,ols,0.4868334405626694,,,1475
0.05,target_ruidoso,3,ridge,0.4903404593047097,0.0884968392987435,0.0001,1475
