regime,horizon,seed,mase_ssrc,mase_static,mase_ridge,mase_ols,diff_ssrc_vs_static,diff_ssrc_vs_ridge,diff_ssrc_vs_ols
clean_1step,1,100,0.03135181529073781,0.011181085105204306,0.24790328312963697,0.25048877482725573,0.020170730185533503,-0.21655146783889917,-0.21913695953651793
clean_1step,1,101,0.02045822676112128,0.014306327645522577,0.24790328312963697,0.25048877482725573,0.006151899115598703,-0.2274450563685157,-0.23003054806613446
clean_1step,1,102,0.024714173735690265,0.012796838814091995,0.24790328312963697,0.25048877482725573,0.01191733492159827,-0.2231891093939467,-0.22577460109156547
clean_1step,1,103,0.014299198429718395,0.012810810522731711,0.24790328312963697,0.25048877482725573,0.0014883879069866844,-0.23360408469991858,-0.23618957639753735
clean_1step,1,104,0.01732950793041007,0.010513098503854417,0.24790328312963697,0.25048877482725573,0.006816409426555653,-0.2305737751992269,-0.23315926689684566
clean_1step,1,105,0.022781887545451913,0.012508155260752994,0.24790328312963697,0.25048877482725573,0.01027373228469892,-0.22512139558418506,-0.22770688728180383
clean_1step,1,106,0.021803228813760754,0.009959637121294006,0.24790328312963697,0.25048877482725573,0.011843591692466748,-0.2261000543158762,-0.22868554601349497
clean_1step,1,107,0.027003861104672948,0.014177448065807372,0.24790328312963697,0.25048877482725573,0.012826413038865576,-0.22089942202496402,-0.22348491372258278
clean_1step,1,108,0.02446220597178956,0.011148366546178774,0.24790328312963697,0.25048877482725573,0.013313839425610785,-0.22344107715784742,-0.22602656885546618
clean_1step,1,109,0.014605543843687929,0.013365113875969867,0.24790328312963697,0.25048877482725573,0.0012404299677180614,-0.23329773928594905,-0.2358832309835678
clean_1step,1,110,0.013736511732026838,0.010700949219383627,0.24790328312963697,0.25048877482725573,0.003035562512643211,-0.23416677139761014,-0.2367522630952289
clean_1step,1,111,0.014252963264243848,0.012366727049643814,0.24790328312963697,0.25048877482725573,0.0018862362146000334,-0.2336503198653931,-0.23623581156301188
clean_1step,1,112,0.041578637121081216,0.010888683208585308,0.24790328312963697,0.25048877482725573,0.030689953912495908,-0.20632464600855577,-0.2089101377061745
clean_1step,1,113,0.02250780642041067,0.013992296046813794,0.24790328312963697,0.25048877482725573,0.008515510373596876,-0.2253954767092263,-0.22798096840684506
clean_1step,1,114,0.03064185463180131,0.012007213415400717,0.24790328312963697,0.25048877482725573,0.018634641216400592,-0.21726142849783567,-0.21984692019545443
clean_1step,1,115,0.04841886984561321,0.011664049934350735,0.24790328312963697,0.25048877482725573,0.036754819911262476,-0.19948441328402378,-0.2020699049816425
clean_1step,1,116,0.03794544583500508,0.010677591683470156,0.24790328312963697,0.25048877482725573,0.027267854151534925,-0.20995783729463188,-0.21254332899225065
clean_1step,1,117,0.03248751384297055,0.011923523267071792,0.24790328312963697,0.25048877482725573,0.020563990575898757,-0.21541576928666642,-0.21800126098428518
clean_1step,1,118,0.01405062183440977,0.012592044269282822,0.24790328312963697,0.25048877482725573,0.0014585775651269478,-0.2338526612952272,-0.23643815299284596
clean_1step,1,119,0.021210960708792144,0.011818812086356704,0.24790328312963697,0.25048877482725573,0.00939214862243544,-0.22669232242084483,-0.2292778141184636
clean_1step,1,120,0.02233356203315131,0.010924294333933663,0.24790328312963697,0.25048877482725573,0.011409267699217646,-0.22556972109648565,-0.22815521279410442
clean_1step,1,121,0.026570610462297785,0.012026601398608562,0.24790328312963697,0.25048877482725573,0.014544009063689222,-0.2213326726673392,-0.22391816436495796
clean_1step,1,122,0.02679597024566523,0.010113805844293118,0.24790328312963697,0.25048877482725573,0.016682164401372112,-0.22110731288397173,-0.2236928045815905
clean_1step,1,123,0.027685602499559363,0.014739834763481098,0.24790328312963697,0.25048877482725573,0.012945767736078265,-0.2202176806300776,-0.22280317232769636
clean_1step,1,124,0.01895705832797093,0.012236314788653668,0.24790328312963697,0.25048877482725573,0.006720743539317262,-0.22894622480166604,-0.2315317164992848
clean_1step,1,125,0.02472759280070519,0.012295644074930676,0.24790328312963697,0.25048877482725573,0.012431948725774513,-0.22317569032893178,-0.22576118202655054
clean_1step,1,126,0.023802164065317804,0.012481352084422779,0.24790328312963697,0.25048877482725573,0.011320811980895025,-0.22410111906431918,-0.22668661076193794
clean_1step,1,127,0.013429668115870229,0.016125852262689033,0.24790328312963697,0.25048877482725573,-0.0026961841468188044,-0.23447361501376673,-0.2370591067113855
clean_1step,1,128,0.021488221989488212,0.010573279730749174,0.24790328312963697,0.25048877482725573,0.010914942258739038,-0.22641506114014875,-0.22900055283776752
clean_1step,1,129,0.026516006418563456,0.012411108019034844,0.24790328312963697,0.25048877482725573,0.014104898399528613,-0.2213872767110735,-0.2239727684086923
clean_multistep,5,100,0.2976069793620293,0.10748588065626827,1.4481040319941907,1.5265814469849595,0.19012109870576102,-1.1504970526321614,-1.2289744676229302
clean_multistep,5,101,0.2002856809292098,0.1355824720072759,1.4481040319941907,1.5265814469849595,0.06470320892193387,-1.247818351064981,-1.3262957660557497
clean_multistep,5,102,0.24437162744829688,0.13570231555716333,1.4481040319941907,1.5265814469849595,0.10866931189113355,-1.2037324045458937,-1.2822098195366625
clean_multistep,5,103,0.15891514057940442,0.12377482460678338,1.4481040319941907,1.5265814469849595,0.035140315972621045,-1.2891888914147862,-1.367666306405555
clean_multistep,5,104,0.20501963273695248,0.1101339959089665,1.4481040319941907,1.5265814469849595,0.09488563682798598,-1.2430843992572382,-1.321561814248007
clean_multistep,5,105,0.21194626753485019,0.12267172202420434,1.4481040319941907,1.5265814469849595,0.08927454551064584,-1.2361577644593404,-1.3146351794501092
