degree,expected_exponent,slope_median,slope_min,slope_max,max_absolute_error,n_conditions
2,4,3.9850098891231713,3.8157583982284504,4.158552350635223,0.18424160177154958,6
3,6,5.997900482476068,5.740942286887415,6.269045723213593,0.2690457232135932,6
4,8,7.99815258245879,7.657032994762822,8.362330638937296,0.362330638937296,6
