ubicacion,magnitud_sigma,signo,mode,mase_calma,mase_shock,delta_mase_shock_menos_calma,kappa_raw_mediana_calma,kappa_raw_mediana_shock,kappa_ratio_shock_sobre_calma,patron_shock_baja_kappa,n_ventanas_shock
5000,5,-1,naive,0.8609216385777785,0.9939811036229275,0.13305946504514898,1288187.6805702809,3486.729549328207,0.0027066937542708307,True,25.0
5000,5,-1,nnls,0.8706540910980196,0.7767384164947873,-0.09391567460323236,1288187.6805702809,3486.729549328207,0.0027066937542708307,True,25.0
5000,5,-1,ols,0.2530629479608114,0.23781890318161367,-0.015244044779197746,1288187.6805702809,3486.729549328207,0.0027066937542708307,True,25.0
5000,5,-1,ridge,0.253000591085983,0.35663215634134965,0.10363156525536665,1288187.6805702809,3486.729549328207,0.0027066937542708307,True,25.0
5000,5,-1,ssrc,0.08830968331024455,0.12132219283135327,0.03301250952110872,1288187.6805702809,3486.729549328207,0.0027066937542708307,True,25.0
5000,5,1,naive,0.8609216385777785,0.9920267193933784,0.1311050808155999,1288187.6805702809,3878.301520146959,0.00301066496648224,True,25.0
5000,5,1,nnls,0.8706540910980196,0.8997716822558661,0.029117591157846512,1288187.6805702809,3878.301520146959,0.00301066496648224,True,25.0
5000,5,1,ols,0.2530629479608114,0.49294521700949334,0.23988226904868193,1288187.6805702809,3878.301520146959,0.00301066496648224,True,25.0
5000,5,1,ridge,0.253000591085983,0.4329037666262557,0.1799031755402727,1288187.6805702809,3878.301520146959,0.00301066496648224,True,25.0
5000,5,1,ssrc,0.08830968331024455,0.20809547437309714,0.11978579106285259,1288187.6805702809,3878.301520146959,0.00301066496648224,True,25.0
5000,10,-1,naive,0.8609216385777785,0.9146446390218506,0.05372300044407208,1288187.6805702809,13459.417263774007,0.010448335647656187,True,25.0
5000,10,-1,nnls,0.8706540910980196,0.6430841820108645,-0.22756990908715513,1288187.6805702809,13459.417263774007,0.010448335647656187,True,25.0
5000,10,-1,ols,0.2530629479608114,0.22373486876756207,-0.02932807919324934,1288187.6805702809,13459.417263774007,0.010448335647656187,True,25.0
5000,10,-1,ridge,0.253000591085983,0.3172272311471138,0.06422664006113082,1288187.6805702809,13459.417263774007,0.010448335647656187,True,25.0
5000,10,-1,ssrc,0.08830968331024455,0.1554349588227802,0.06712527551253564,1288187.6805702809,13459.417263774007,0.010448335647656187,True,25.0
5000,10,1,naive,0.8609216385777785,0.9129895298628227,0.05206789128504419,1288187.6805702809,10302.69143990943,0.007997818637225615,True,25.0
5000,10,1,nnls,0.8706540910980196,1.1622479059040092,0.29159381480598956,1288187.6805702809,10302.69143990943,0.007997818637225615,True,25.0
5000,10,1,ols,0.2530629479608114,0.3517217336659169,0.0986587857051055,1288187.6805702809,10302.69143990943,0.007997818637225615,True,25.0
5000,10,1,ridge,0.253000591085983,0.33656687148652004,0.08356628040053704,1288187.6805702809,10302.69143990943,0.007997818637225615,True,25.0
5000,10,1,ssrc,0.08830968331024455,0.20989250860971023,0.12158282529946568,1288187.6805702809,10302.69143990943,0.007997818637225615,True,25.0
5000,15,-1,naive,0.8609216385777785,0.847036808707107,-0.013884829870671522,1288187.6805702809,57962.82123073948,0.04499563386996476,True,25.0
5000,15,-1,nnls,0.8706540910980196,0.6638503148183089,-0.2068037762797107,1288187.6805702809,57962.82123073948,0.04499563386996476,True,25.0
5000,15,-1,ols,0.2530629479608114,0.18838998488199152,-0.0646729630788199,1288187.6805702809,57962.82123073948,0.04499563386996476,True,25.0
5000,15,-1,ridge,0.253000591085983,0.17828151825348576,-0.07471907283249724,1288187.6805702809,57962.82123073948,0.04499563386996476,True,25.0
5000,15,-1,ssrc,0.08830968331024455,0.17975100623518872,0.09144132292494417,1288187.6805702809,57962.82123073948,0.04499563386996476,True,25.0
5000,15,1,naive,0.8609216385777785,0.8456171481496922,-0.015304490428086237,1288187.6805702809,49771.85204293825,0.03863711227303792,True,25.0
5000,15,1,nnls,0.8706540910980196,1.1455609694188187,0.2749068783207991,1288187.6805702809,49771.85204293825,0.03863711227303792,True,25.0
5000,15,1,ols,0.2530629479608114,0.3175965197487206,0.0645335717879092,1288187.6805702809,49771.85204293825,0.03863711227303792,True,25.0
5000,15,1,ridge,0.253000591085983,0.35310333604311367,0.10010274495713067,1288187.6805702809,49771.85204293825,0.03863711227303792,True,25.0
5000,15,1,ssrc,0.08830968331024455,0.2006365165285891,0.11232683321834455,1288187.6805702809,49771.85204293825,0.03863711227303792,True,25.0
5000,20,-1,naive,0.8609216385777785,0.7887357887340145,-0.07218584984376397,1288478.5930285067,177765.86216873102,0.13796570865092989,True,25.0
5000,20,-1,nnls,0.8706540910980196,0.6623685820256651,-0.20828550907235455,1288478.5930285067,177765.86216873102,0.13796570865092989,True,25.0
5000,20,-1,ols,0.2530629479608114,0.17318520292073167,-0.07987774504007975,1288478.5930285067,177765.86216873102,0.13796570865092989,True,25.0
5000,20,-1,ridge,0.253000591085983,0.1730128086282118,-0.07998778245777119,1288478.5930285067,177765.86216873102,0.13796570865092989,True,25.0
5000,20,-1,ssrc,0.08830968331024455,0.22300790642771123,0.13469822311746668,1288478.5930285067,177765.86216873102,0.13796570865092989,True,25.0
5000,20,1,naive,0.8609216385777785,0.7875046892550709,-0.07341694932270759,1288478.5930285067,159785.29423881785,0.12401082571597113,True,25.0
5000,20,1,nnls,0.8706540910980196,1.1106467242600355,0.2399926331620159,1288478.5930285067,159785.29423881785,0.12401082571597113,True,25.0
5000,20,1,ols,0.2530629479608114,0.298820006946481,0.04575705898566956,1288478.5930285067,159785.29423881785,0.12401082571597113,True,25.0
5000,20,1,ridge,0.253000591085983,0.3022723036173518,0.049271712531368805,1288478.5930285067,159785.29423881785,0.12401082571597113,True,25.0
5000,20,1,ssrc,0.08830968331024455,0.2059555087064281,0.11764582539618354,1288478.5930285067,159785.29423881785,0.12401082571597113,True,25.0
5000,30,-1,naive,0.8609216385777785,0.6932973347183042,-0.16762430385947424,1288478.5930285067,887183.5413873524,0.6885512465535576,True,25.0
5000,30,-1,nnls,0.8706540910980196,0.6290512525291847,-0.2416028385688349,1288478.5930285067,887183.5413873524,0.6885512465535576,True,25.0
5000,30,-1,ols,0.2530629479608114,0.14132084904162398,-0.11174209891918743,1288478.5930285067,887183.5413873524,0.6885512465535576,True,25.0
5000,30,-1,ridge,0.253000591085983,0.11163539982826466,-0.14136519125771835,1288478.5930285067,887183.5413873524,0.6885512465535576,True,25.0
5000,30,-1,ssrc,0.08830968331024455,0.29697561478352863,0.20866593147328408,1288478.5930285067,887183.5413873524,0.6885512465535576,True,25.0
5000,30,1,naive,0.8609216385777785,0.692345961010049,-0.1685756775677295,1288478.5930285067,828874.7808610144,0.6432972851437013,True,25.0
5000,30,1,nnls,0.8706540910980196,1.1568917726100525,0.2862376815120329,1288478.5930285067,828874.7808610144,0.6432972851437013,True,25.0
5000,30,1,ols,0.2530629479608114,0.2887300980182057,0.03566715005739429,1288478.5930285067,828874.7808610144,0.6432972851437013,True,25.0
5000,30,1,ridge,0.253000591085983,0.40402365044819877,0.15102305936221577,1288478.5930285067,828874.7808610144,0.6432972851437013,True,25.0
