nivel_ruido,variante,mode,mase_media_semillas,mase_std_semillas,n_semillas
0.0,target_limpio,naive,0.8613705680415826,,1
0.0,target_limpio,nnls,0.8736639598802906,,1
0.0,target_limpio,ols,0.25234635732006794,,1
0.0,target_limpio,ridge,0.2521894171601524,,1
0.0,target_limpio,ssrc,0.08862927033387505,,1
0.0,target_ruidoso,naive,0.8613705680415826,,1
0.0,target_ruidoso,nnls,0.8736639598802906,,1
0.0,target_ruidoso,ols,0.25234635732006794,,1
0.0,target_ruidoso,ridge,0.2521894171601524,,1
0.0,target_ruidoso,ssrc,0.08862927033387505,,1
0.01,target_limpio,naive,0.8613705680415826,0.0,5
0.01,target_limpio,nnls,0.8760966377055588,0.006498914309112379,5
0.01,target_limpio,ols,0.2629083135346476,0.005101330332223113,5
0.01,target_limpio,ridge,0.26293726645155,0.006553254813446683,5
0.01,target_limpio,ssrc,0.11200557162203768,0.003285189593637461,5
0.01,target_ruidoso,naive,0.867031297896306,0.00825500687742451,5
0.01,target_ruidoso,nnls,0.8776666285469055,0.008501177624389268,5
0.01,target_ruidoso,ols,0.2642530539605497,0.006605332191276763,5
0.01,target_ruidoso,ridge,0.2642300629663316,0.006745252724747201,5
0.01,target_ruidoso,ssrc,0.11650205670071237,0.0029544706285841824,5
0.05,target_limpio,naive,0.8613705680415826,0.0,5
0.05,target_limpio,nnls,0.8956514717792897,0.010611994878869076,5
0.05,target_limpio,ols,0.49354955014045493,0.013943857507904328,5
0.05,target_limpio,ridge,0.4951147175027789,0.014819786464051316,5
0.05,target_limpio,ssrc,0.24587055745733927,0.011970062955847193,5
0.05,target_ruidoso,naive,0.8698888485819538,0.01023830815441537,5
0.05,target_ruidoso,nnls,0.8785910353833521,0.016325090511053512,5
0.05,target_ruidoso,ols,0.49961241988926475,0.010420736567410063,5
0.05,target_ruidoso,ridge,0.5054232827977436,0.012962416416162742,5
0.05,target_ruidoso,ssrc,0.28201668792689594,0.004439765886700354,5
0.1,target_limpio,naive,0.8613705680415826,0.0,5
0.1,target_limpio,nnls,0.9389863957345692,0.019887869286182514,5
0.1,target_limpio,ols,0.6748249159700989,0.012059573408225286,5
0.1,target_limpio,ridge,0.6762392630928016,0.008191842261996722,5
0.1,target_limpio,ssrc,0.38444581111466664,0.007515990141459612,5
0.1,target_ruidoso,naive,0.8679971457015142,0.017653675816688377,5
0.1,target_ruidoso,nnls,0.8855767332386126,0.017934913155581423,5
0.1,target_ruidoso,ols,0.6700087184541008,0.012884742062995641,5
0.1,target_ruidoso,ridge,0.6716975482396196,0.014746389330202135,5
0.1,target_ruidoso,ssrc,0.45735790084035505,0.011460671381397147,5
0.2,target_limpio,naive,0.8613705680415826,0.0,5
0.2,target_limpio,nnls,1.042255142563842,0.030571487460828575,5
0.2,target_limpio,ols,0.9441217426795442,0.0408471713411459,5
0.2,target_limpio,ridge,0.9459448771407871,0.036464819901150344,5
0.2,target_limpio,ssrc,0.6615435299573216,0.013486976328180203,5
0.2,target_ruidoso,naive,0.8728408295688752,0.014774507823407322,5
0.2,target_ruidoso,nnls,0.8496573139543427,0.026864320651869274,5
0.2,target_ruidoso,ols,0.7908748446141767,0.02673060366307685,5
0.2,target_ruidoso,ridge,0.7970717396273204,0.02692503938698189,5
0.2,target_ruidoso,ssrc,0.6634259590385965,0.030668214342550657,5
0.5,target_limpio,naive,0.8613705680415826,0.0,5
0.5,target_limpio,nnls,1.5004782800602778,0.04711750159170745,5
0.5,target_limpio,ols,1.5014298388487546,0.06421582700071408,5
0.5,target_limpio,ridge,1.5058130051785787,0.06559274979623969,5
0.5,target_limpio,ssrc,1.4283223719508003,0.029036652745808276,5
0.5,target_ruidoso,naive,0.8563215500962468,0.024338544561507594,5
0.5,target_ruidoso,nnls,0.7795115010556876,0.0306085664025537,5
0.5,target_ruidoso,ols,0.7855013569217594,0.027185001016972327,5
0.5,target_ruidoso,ridge,0.7851848854463287,0.02695601727283235,5
0.5,target_ruidoso,ssrc,0.7834650265226082,0.01543723391704512,5
