regime,horizon,ssrc_lag_median,ssrc_lag_p2_5,ssrc_lag_p97_5,ssrc_lag_iqr,static_lag_median,static_lag_iqr,ssrc_ngrc_median,ridge_median,ols_median,win_vs_static,win_vs_ridge,win_vs_ols,boot_diff_vs_static_mean,boot_diff_vs_static_ci_low,boot_diff_vs_static_ci_high,boot_diff_vs_ridge_mean,boot_diff_vs_ridge_ci_low,boot_diff_vs_ridge_ci_high,boot_diff_vs_ols_mean,boot_diff_vs_ols_ci_low,boot_diff_vs_ols_ci_high
clean_1step,1,0.02920031914710319,0.01613023011438529,0.052284173246393575,0.009287747480390022,0.015409692362238402,0.0019086947363794477,0.09365283723482615,0.2391346972311423,0.24058335803911385,"3/30 (10.0%) [0.02,0.27]","30/30 (100.0%) [0.88,1.00]","30/30 (100.0%) [0.88,1.00]",0.016060135467538823,0.01155883970092039,0.020932631687797718,-0.24212480988821733,-0.24806274581416934,-0.23576404288547168,-0.24231888606381177,-0.24856891744993778,-0.23575840152634064
clean_multistep,5,0.2430815650893567,0.13499292208682614,0.4726856485592485,0.12324241235791789,0.14502816213134653,0.022967887390881042,0.26595275582582745,1.5250818665668997,1.60436169548738,"3/30 (10.0%) [0.02,0.27]","30/30 (100.0%) [0.88,1.00]","30/30 (100.0%) [0.88,1.00]",0.20490686577847048,0.14882818183280339,0.2705416682910381,-1.2983331908505316,-1.3544168752060075,-1.2333518495589162,-1.3382765924191018,-1.3966508312527086,-1.2775988264559182
clean_multistep,10,0.7062828886039135,0.3613683436002129,1.818495866698971,0.4321158165978427,0.42645649386897044,0.050962182101094045,0.5502066691897716,2.532038484919538,2.5030702284800324,"2/30 (6.7%) [0.01,0.22]","30/30 (100.0%) [0.88,1.00]","30/30 (100.0%) [0.88,1.00]",0.7894672003554053,0.5767611001513879,1.0347008136188698,-1.2913058493066831,-1.5006795525988323,-1.0493894661856977,-1.3570765372133784,-1.5775876690024326,-1.1119822059176852
noise_0.1_filtering,1,0.36281105034755434,0.3402197299068913,0.37993318266326515,0.01614469136741603,0.39865480810808074,0.004495117964689099,,0.6074128724541107,0.6027259701871739,"30/30 (100.0%) [0.88,1.00]","30/30 (100.0%) [0.88,1.00]","30/30 (100.0%) [0.88,1.00]",-0.03639225093909421,-0.04088489735709794,-0.03199435278630724,-0.2718843927341093,-0.2787835031247109,-0.2650117102620754,-0.2730970000560016,-0.2800795760597959,-0.26586476302410667
noise_0.1_observational,1,0.4602922816226679,0.4321153393005204,0.48593635508929894,0.014756903494231977,0.4868634170370598,0.006459255262428687,,0.6831320472705411,0.6855931846829072,"29/30 (96.7%) [0.83,1.00]","30/30 (100.0%) [0.88,1.00]","30/30 (100.0%) [0.88,1.00]",-0.034759116065499245,-0.03937184727617089,-0.03033772576071526,-0.23564136018741763,-0.24299387027836744,-0.22838776503484728,-0.23686714305541276,-0.24397899661772746,-0.22971813934445387
noise_0.5_filtering,1,0.4744024756724937,0.44683463435870335,0.49518132041894,0.019332776030304977,0.5258753531681206,0.007646416155311586,,0.5440328837022855,0.5379149938312368,"30/30 (100.0%) [0.88,1.00]","30/30 (100.0%) [0.88,1.00]","30/30 (100.0%) [0.88,1.00]",-0.0429955887296069,-0.048182509307038164,-0.03804261306662471,-0.08723937276669762,-0.09337245552073525,-0.08128043022912222,-0.08186131218754661,-0.08829324815429282,-0.07575285568854817
noise_0.5_observational,1,0.7172209469220396,0.6919640889738375,0.736703291020482,0.013379384836912256,0.7450690132091864,0.005066435509046063,,0.7483803687854879,0.7388928487694133,"30/30 (100.0%) [0.88,1.00]","30/30 (100.0%) [0.88,1.00]","30/30 (100.0%) [0.88,1.00]",-0.026261100830186103,-0.030979403726091596,-0.02155102703651599,-0.05761051369252898,-0.06375298383024545,-0.05162237651859569,-0.050652796898032676,-0.05632977846156882,-0.04502439666097826
shock_15sigma,1,0.22273714719889018,0.11664688831434525,0.3609657589198516,0.06724660111782249,0.2192131284427818,0.062405201445717096,,0.3305197051695502,0.2649747675052474,"13/30 (43.3%) [0.25,0.63]","27/30 (90.0%) [0.73,0.98]","24/30 (80.0%) [0.61,0.92]",0.9271944346348809,0.6445877067892868,1.253498082759675,0.9294997896782392,0.581659774582288,1.308459162417719,1.0165994539592416,0.6533848383179495,1.3887451074032422
shock_50sigma,1,0.4233961356328807,0.2985731446503241,0.571068053151163,0.10951520085933059,0.33803733726593443,0.09966297822553766,,0.2215122957035312,0.21806195304898768,"7/30 (23.3%) [0.10,0.42]","0/30 (0.0%) [0.00,0.12]","0/30 (0.0%) [0.00,0.12]",1.1568685522970528,0.7644970715341878,1.6221570917484154,1.1306539800214936,0.7088419068078458,1.5997306777061258,1.3229927638466799,0.9291714029974496,1.799295694654822
