fuel,n_ventanas,n_negativas_legacy,n_negativas_corregida,pct_negativas_legacy,pct_negativas_corregida
Diesel,86,1,0,1.1627906976744187,0.0
Kerosene,86,0,0,0.0,0.0
Regular,86,7,0,8.13953488372093,0.0
Súper,86,5,0,5.813953488372093,0.0
